knihy_id,isbn,nazev,pocet_stran,rok_vydani,misto_vydani,nakladatel,vydani,druhy_id,jazyky_id,autor,edice
349,ISBN 80-86419-49-5,Modely hodnocení efektivnosti produkčních jednotek,183,2004,Praha,Professional Publishing,1,1,1,"Jablonský, Josef -- Dlouhý, Martin",
351,ISBN 978-80-251-1744-6,"Plastická chirurgie ve Photoshopu : elegantní úpravy obličeje, pleti i celé postavy na fotografiích",192,2007,Brno,Computer Press,1,1,1,"Jackson, Barry",
353,ISBN 80-85896-36-2,Microsoft Excel Visual Basic - Krok za krokem : Verze 5 pro Windows,21,1996,Praha,Computer Press,1,1,1,"Jacobson, Reed",
356,ISBN 80-85896-64-8,"Moderní počítačové viry : Podstata, prevence a ochrana",9,1996,Praha,Computer Press,1,1,1,"Jaluvka, Josef",
357,ISBN 80-7169-113-5,UNIX V - Základy operačního systému,242,1995,Praha,Grada Publishing,1,1,1,"Jelen, Milan",
359,ISBN 80-85623-82-X,Tvorba aplikací v objektovém prostředí,323,1994,Praha,Grada,,1,1,"Jilková, Helena -- Ryant, Ivan",
361,ISBN 80-7079-701-0,Metody reprezentace a zpracování znalostí vumělé inteligenci,103,1995,Praha,VŠE,1,1,1,"Jiroušek, Radim",
368,ISBN 80-7226-295-5,Jazyk C,12,2000,Praha,Computer Press,1,1,1,"Kačmář, Dalibor",
371,ISBN 80-7169-356-1,Průvodce nitrem BIOSu,234,1996,Praha,Grada Publishing,1,1,1,"Kadlec, Zdeněk",
372,ISBN 80-7226-245-9,Učíme se programovat v Delphi a jazyce Object Pascal,288,2001,Praha,Computer Press,1,1,1,"Kadlec, Václav",
373,ISBN 80-251-0074-X,Microsoft Project : kompletní průvodce pro verze 2003 a 2002,597,2003,Brno,Computer Press,1,1,1,"Kališ, Jan -- Hyndrák, Karel",Microsoft Office System
374,ISBN 80-7169-407-X,Počítačové sítě a jejich aplikace,311,1999,Praha,Grada Publishing,1,1,1,"Kállay, Fedor -- Peniak, Peter",
378,ISBN 80-251-1301-9,Výpočty a simulace v programech Matlab a Simulink,220,2006,Brno,Computer Press,1,1,1,"Karban, Pavel",
380,ISBN 80-86056-31-7,ZEN a umění Internetu,168,1997,Praha,,1,1,1,"Kehoe, Brendan p.",
385,ISBN 80-251-0839-2,Java bez předchozích znalostí : průvodce pro samouky,275,2005,Brno,CP Books,1,1,1,"Keogh, James Edward",
387,ISBN 80-7226-615-2,ActionScript ve Flashi : podrobná příručka,507,2002,Praha,Computer Press,1,1,2,"Kerman, Phillip",Co ještě nevíte o
390,ISBN 0-201-63442-2,"An engineering approach to computer networking : ATM networks, the internet, and the telephone network",660,1997,Boston,Addison-Wesley,,1,2,"Keshav, Srinivsan",Addison-Wesley professional computing series
393,ISBN 80-86815-02-1,Zrychlete své WWW stránky!,446,2004,Brno,ZONER Press,1,1,1,"King, Andrew B.",Encyklopedie webdesignera
397,ISBN 0-256-05682-X,Management Science: Building and Using Models,19,1989,Homewood,Irwin,,1,2,"Knowles, Thomas W.",
401,ISBN 0-201-13437-3,Computers & Typesetting: TEX - The Program,16,1986,Reading,Addison-Wesley,,1,2,"Knuth, Donald Ervin",
402,ISBN 1-57586-010-4,Digital Typography,15,1998,Stanford,CSLI,,1,2,"Knuth, Donald Ervin",
403,ISBN 0-201-13444-6,The METAFONTbook,11,1986,Reading,Addison-Wesley,,1,2,"Knuth, Donald Ervin",
404,ISBN 0-201-13448-9,The TEXbook,9,1986,Reading,Addison Wesley,,1,2,"Knuth, Donald Ervin",
406,ISBN 80-251-0232-7,Praktická typografie,288,2004,Praha,Computer Press,2,1,1,"Kočička, Pavel -- Blažek, Filip",
407,ISBN 978-3-8365-0797-4,Photo icons,191,2008,Köln,Taschen,,1,2,"Koetzle, Michael",Icons
409,ISBN 3-540-67921-9,Self-organizing maps,501,2001,New York,Springer Verlag,3,1,2,"Kohonen, Teuvo",Springer series in information sciences
410,ISBN 80-251-0391-9,Stavíme si bezdrátovou síť Wi-fi,295,2004,Brno,Computer Press,1,1,1,"Köhre, Thomas",
411,ISBN 80-7226-973-9,LATEX : podrobný průvodce,576,2004,Brno,Computer Press,1,1,1,"Kopka, Helmut -- Daly, Patrick W.",DTP & grafika
412,ISBN 1-59327-036-4,The Linux enterprise cluster : build a highly available cluster with commodity hardware and free software,430,2005,San Francisco,No Starch Press,,1,2,"Kopper, Karl",
413,ISBN 978-0-12374017-5,"HCI beyond the GUI : design for haptic, speech, olfactory and other nontraditional interfaces",462,2008,Amsterdam,Elsevier/Morgan Kaufmann,,1,2,"Kortum, Philip",
414,ISBN 80-7169-608-0,HTML - tvorba dokonalých WWW stránek : podrobný průvodce,291,1998,Praha,Grada Publishing,1,1,1,"Kosek, Jiří",Průvodce
416,ISBN 80-7169-860-1,XML pro každého : podrobný průvodce,163,2000,Praha,Grada Publishing,1,1,1,"Kosek, Jiří",
418,ISBN 80-200-1202-8,Metrické prostory,98,2004,Praha,Academia,1,1,1,"Kosmák, Ladislav -- Potůček, Radovan",
419,ISBN 0-471-23443-5,Systems engineering : principles and practices,463,2003,New York,J. Wiley,,1,2,"Kossiakoff, Alexander -- Sweet, William N",Wiley series in systems engineering and management
422,ISBN 80-85424-32-0,Cesty moderního programování,321,1991,Praha,Grada Publishing,,1,1,"Koubský, Petr",
423,ISBN 80-86419-76-2,Segmentujeme spotřební trhy,145,2005,Praha,Professional Publishing,1,1,1,"Koudelka, Jan",
429,ISBN 80-7226-047-2,Základy objektově orientovaného programování,251,1998,Computer Press,Praha,1,1,1,"Kraval, Ilja",
430,ISBN 80-247-0812-4,Linux : tipy a triky pro bezpečnost,207,2004,Praha,Grada Publishing,1,1,1,"Krčmář, Petr",
433,ISBN 0-395-38106-1,Management,21,1989,Boston,Houghton Mifflin Comp.,4,1,2,"Kreitner, Robert",
435,ISBN 80-251-0345-5,Administrace a diagnostika sítí pomocí OpenSource utilit a nástrojů,216,2004,Brno,Computer Press,1,1,1,"Kretchmar, James M. -- Dostálek, Libor",
436,ISBN 80-7226-132-0,Mistrovství ve Visual C++,30,1999,Praha,Computer Press,1,1,1,"Kruglinski, David J.",
439,ISBN 80-7225-094-9,Velký frekvenční slovník počítačů 2003,510,2002,Ostrava,Montanex,1,1,1,"Kříž, Jaromír",
440,ISBN 80-86593-06-1,Zvuk na PC : step by step,262,2002,Praha,Mobil Media,1,1,1,"Kříž, Miloslav",
441,ISBN 978-80-251-2195-5,Velký průvodce SEO : jak dosáhnout nejlepších pozic ve vyhledávačích,318,2008,Brno,Computer Press,1,1,1,"Kubíček, Michal",
442,ISBN 80-251-0323-4,Inteligentní agenty : [tvorba aplikačního software na bázi multiagentových systémů],280,2004,Brno,Computer Press,1,1,1,"Kubík, Aleš",
443,ISBN 80-86223-11-6,"Brno: Vývoj města, předměstí a připojených vesnic",664,2000,Praha,Baset,1,1,1,"Kuča, Karel",
444,,"Současné ekonomické problémy zemědělství z pohledu provozu : Mendelova zemědělská a lesnická univerzita v Brně, České zemědělství na prahu třetího tisíciletí, Brno 1998, s. 75 až 88",119,2002,Třebíč,Amaprint Kerndl,,1,1,"Kučera, Josef",
445,ISBN 80-86005-54-2,Struktura vědeckých revolucí,206,1997,Praha,Oikoymenh,1,1,1,"Kuhn, Thomas S.",Oikúmené
446,ISBN 80-7169-886-5,Bezpečná síť : Jak zajistíte bezpečnost vaší sítě,91,1999,Praha,Grada Publishing,1,1,1,"Kuchař, Miloš",
447,ISBN 80-7226-816-3,Tipy a triky pro Pocket PC,108,2002,Praha,Computer Press,1,1,1,"Kuruc, Jiří -- Janeček, Vladislav",
449,ISBN 80-901342-2-X,Sbírka úloh z jazyka Pascal,123,1996,České Budějovice,Kopp,1,1,1,"Kvoch, Martin -- Jančík, Jaroslav",
451,ISBN 0-07-223065-7,Effective Oracle by design,664,2003,New York,McGraw-Hill/Osborne,,1,2,"Kyte, Thomas",Oracle Press
452,ISBN 1-861004-82-6,Expert one-on-one Oracle,1297,2002,Birmingham,Wrox Press,1,1,2,"Kyte, Thomas",
454,ISBN 978-80-251-2108-5,Ajax : hotová řešení,269,2008,Brno,Computer Press,1,1,1,"Lacko, Ľuboslav",
455,ISBN 80-251-1110-5,"Business Intelligence v SQL Serveru 2005 : reportovací, analytické a další datové služby",391,2006,Brno,Computer Press,1,1,1,"Lacko, Ľuboslav",
458,ISBN 80-251-0176-2,Programujeme mobilní aplikace ve Visual Studiu .NET,479,2004,Praha,Computer Press,1,1,1,"Lacko, Ľuboslav",
459,ISBN 80-7226-975-5,"SQL : pro SQL Server, Oracle a MySQL",298,2003,Brno,Computer Press,1,1,1,"Lacko, Luboslav",Hotová řešení
461,ISBN 80-7226-221-1,"Logistika : příkladové studie, řízení osob, přeprava a skladování, balení zboží",589,2000,Praha,Computer Press,2,1,1,"Lambert, Douglas M. -- Stock, James R.",Praxe managera
463,ISBN 3-540-24371-2,"Enterprise architecture at work : modelling, communication, and analysis",334,2005,New York,Springer,,1,2,"Lankhorst, Marc a kol.",
464,ISBN 978-80-251-1542-8,Microsoft Office Outlook 2007 : podrobná uživatelská příručka,342,2007,Brno,Computer Press,1,1,1,"Lapáček, Jiří",
467,ISBN 0-02-368100-4,Management Information Systems : A Contemporary Perspective,749,1988,New York,Macmillan Publishing Company,1,1,2,"Laudon, Kenneth C. -- Laudon, Jane Price",
470,ISBN 0-321-32135-9,Web usability : a user-centered design approach,394,2006,Boston,Addison Wesley,1,1,2,"Lazar, Jonathan",
475,ISBN 80-7226-172-X,"Procesory - architektura, funkce, použití",13,1999,Brno,Computer Press,1,1,1,"Ličev, Lačezar -- Morkes, David",Hardware
477,ISBN 978-80-247-2462-1,eGovernment bezpečně,145,2008,Praha,Grada,1,1,1,"Lidinský, Vít a kol.",
478,ISBN 0-596-00783-3,Time management for system administrators,200,2006,"Sebastopol, CA",O'Reilly,,1,2,"Limoncelli, Tom",
479,ISBN 80-7335-000-9,Finština nejen pro samouky,344,2002,Praha,LEDA,1,1,10,"Lindroos, Hilkka A.",
483,ISBN 80-7226-361-7,DELPHI v kostce : Pohotová referenční příručka,15,2000,Praha,Computer Press,1,1,1,"Lischner, Ray",
486,ISBN 80-7226-635-7,"Mistrovství v Oracle : kompletní průvodce tvorbou, správou a údržbou databází",860,2002,Praha,Computer Press,1,1,1,"Loney, Kevin -- Theriault, Marlene",
487,ISBN 0-13-899725-X,Object Databases in Practice,18,1998,Upper Saddle River,Prentice Hall,,1,2,"Loomis, Mary E.S. -- Chaudhri, Akmal B.",
488,ISBN 0-13-179292-X,Object-Oriented Software Metrics : A Practical Guide,13,1994,Englewood,Prentice Hall,,1,2,"Lorenz, Mark -- Kidd, Jeff",
490,ISBN 80-7169-631-5,Jazyky C a C++ podle normy ANSI/ISO : Kompletní kapesní průvodce,643,1999,Praha,Grada Publishing,1,1,1,"Louis, Dirk -- Mejzlík, Petr",
492,ISBN 80-251-0023-5,Formální logika v umělé inteligenci,269,2003,Brno,Computer Press,1,1,1,"Lukasová, Alena",
493,ISBN 80-86056-63-5,Příručka přežití administrátora INFORMIXU,238,1997,Praha,,1,1,1,"Lumbley, Joe",
495,ISBN 80-247-0367-X,Naučte se Python,339,2003,Praha,Grada,1,1,1,"Lutz, Mark -- Ascher, David",
498,ISBN 0-256-10509-X,Basic Marketing : A Global-Managerial Approach,763,1993,Homewood,Irwin,1,1,2,"Mac Carthy, E. Jerome -- Perreault, William D.",
499,ISBN 80-7226-194-0,Softwarové projekty : Jak dodat kvalitní softwarový produkt včas,15,1999,Praha,Computer Press,1,1,1,"Mac Carthy, Jim",
500,ISBN 1-56592-627-7,Learning Red Hat Linux,13,1999,Beijing,O'Reilly,1,1,2,"Mac Carty, Bill",
501,ISBN 80-7226-509-1,Učíme se RedHat Linux,14,2000,Praha,Computer Press,1,1,1,"Mac Carty, Bill",
502,ISBN 1-932828-04-4,"Process mapping, process improvement, and process management : a practical guide for enhancing work and information flow a practical guide for enhancing work and information flow",313,2005,"Chico, California",Paton Press,,1,2,"Madison, Dan",
503,ISBN 80-251-0398-6,Microsoft Office PowerPoint 2003 : podrobná uživatelská příručka,391,2006,Brno,Computer Press,1,1,1,"Magera, Ivo",
504,ISBN 80-7226-660-8,Microsoft PowerPoint 2002 : uživatelská příručka,363,2002,Praha,Computer Press,1,1,1,"Magera, Ivo",Kancelář
506,ISBN 80-85896-48-6,PowerPoint 7.0 - Příručka uživatele,10,1996,Praha,Computer Press,1,1,1,"Magera, Ivo -- Valášková, Irena",
507,ISBN 80-901507-1-3,Základy programování v jazyku INFORMIX-4GL,236,1994,Praha,,1,1,1,"Mahler, Paul",
508,ISBN 978-80-7179-463-9,Prostorově orientované systémy pro podporu manažerského rozhodování,141,2007,Praha,C.H. Beck,1,1,1,"Machalová, Jitka",C.H. Beck pro praxi
513,ISBN 80-210-1031-2,Kapitoly z metodologie pedagogiky,125,1994,Brno,MU,,1,1,"Maňák, Josef",Spisy Pedagogické fakulty MU v Brně
514,ISBN 0-596-00372-2,XSLT cookbook,654,2003,"Sebastopol, California",O'Reilly,,1,2,"Mangano, Sal",
516,ISBN 80-7226-332-3,XML v příkladech,447,2000,Praha,Computer Press,1,1,1,"Marchal, Benoit",
522,ISBN 978-80-210-4556-9,Autorizace elektronických transakcí a autentizace dat i uživatelů,125,2008,Brno,Masarykova univerzita,1,1,1,"Matyáš, Vašek -- Krhovják, Jan a kol.",
524,ISBN 80-251-0849-X,Dokonalý kód : umění programování a techniky tvorby software,894,2005,Brno,Computer Press,1,1,1,"McConnell, Steve",
526,ISBN 978-80-247-2122-4,CSS : chybějící manuál : tvorba nádherných webových stránek prostřednictvím CSS,432,2007,Praha,Grada,1,1,1,"McFarland, David Sawyer",
527,ISBN 0-521-32153-0,Geometry and interpolation of curves and surfaces,414,1998,Cambridge,Cambridge University Press,,1,2,"McLeod, Robin J. Y -- Baart, Maria Louisa",
530,ISBN 0-8493-8523-7,Handbook of applied cryptography,780,1997,Boca Raton,CRC Press,,1,2,"Menezes, A. J -- Vanstone, Scott A",CRC Press series on discrete mathematics and its applications
531,ISBN 1-58720-060-0,CCNP practical studies: switching : CCNP self-study,958,2004,"Indianapolis, IN",Cisco Press,,1,2,"Menga, Justin",Cisco Press practical studies series
532,ISBN 80-251-0181-9,Microsoft Office Outlook 2003 : podrobná uživatelská příručka,378,2004,Brno,Computer Press,1,1,1,"Městecký, Petr",
533,ISBN 978-0-240-81010-2,Creating motion graphics : with after effects,690,2007,Boston,Elsevier,4,1,2,"Meyer, Trish -- Meyer, Chris",
537,ISBN 80-86394-97-2,Internetový obchod pomocí PHP a MySQL,131,2003,Praha,Newsletter,2,1,1,"Mihule, Tomáš",
539,ISBN 978-3-540-32928-2,Adaptive business intelligence,246,2007,Berlin,Springer,,1,1,"Michalewicz, Zbigniew a kol.",
540,ISBN 80-86097-09-9,D H T M L : dynamické HTML referenční příručka,167,1997,Brno,UNIS,1,1,1,"Mikle, Pavel",
541,ISBN 80-86815-13-7,"XCSS : CSS1, CSS2, CSS2. 1 : úplná přesná referenční příručka",231,2004,Brno,ZONER Press,1,1,1,"Mikle, Pavol",Encyklopedie webdesignera
544,ISBN 80-85825-02-3,MS-DOS 6.2 : Kompletní referenční příručka,228,1994,Brno,CCB,,1,1,"Mikula, Pavel -- Baránek, Tomáš",
546,ISBN 80-85828-62-6,Jak na to v Pascalu,109,1996,České Budějovice,Kopp,1,1,1,"Milda, Miroslav",
550,ISBN 80-7169-006-6,Problémy s Windows a jak na ně,429,1993,Praha,Grada,,1,1,"Minasi, Mark",
551,ISBN 80-247-0326-2,Windows XP Professional,800,2002,Praha,Grada,1,1,1,"Minasi, Mark",Profesional
555,ISBN 978-80-251-1511-4,Zabezpečení obchodních informací,154,2007,Brno,Computer Press,1,1,1,"Mlýnek, Jaroslav",
556,ISBN 1-56881-182-9,Real-time rendering,835,2002,Natick,AK Peters,2,1,2,"Möller, Tomas -- Haines, Eric",
563,ISBN 0-201-74391-4,Business rules and information systems : aligning IT with business goals,348,2002,Boston,Addison-Wesley,,1,2,"Morgan, A. J",
570,ISBN 80-251-0806-6,"Zásady skupiny, profily a IntelliMirror pro Windows 2003, 2000 a XP",524,2005,Brno,Computer Press,1,1,1,"Moskowitz, Jeremy",
573,ISBN 80-7226-796-5,"Osobní počítač : hardware, upgrade, opravy",862,2003,Brno,Computer Press,1,1,1,"Mueller, Scott",Hardware
574,ISBN 80-7226-470-2,Osobní počítač : Nejpodrobnější průvodce hardwarem PC,32,2001,Praha,Computer Press,1,1,1,"Mueller, Scott",
575,ISBN 1-56592-691-9,Building Oracle XML Applications,16,2000,Beijing,O'Reilly,1,1,2,"Muench, Steve",
577,ISBN 1-55860-515-0,Database Design for Smarties : Using UML for Data Modeling,17,1999,San Francisco, Morgan Kaufmann Publ.,,1,1,"Muller, Robert J.",
579,ISBN 80-85896-18-4,Encyklopedie grafických formátů: Součástí knihy je CD-ROM,28,1995,Praha,Computer Press,1,1,1,"Murray, James D. -- Ryper, William van",
580,ISBN 80-7226-407-9,HTML a XHTML : kompletní průvodce,623,2000,Praha,Computer Press,,1,1,"Musciano, Chuck -- Kennedy, Bill",
581,ISBN 80-251-0890-2,Fotografujeme krajinu,157,2005,Brno,Computer Press,1,1,1,"Myška, Miroslav",Edice digitální fotografie
584,ISBN 1-57231-692-6,Internet Standards and Protocols : A Quick Reference to Internet Technologies,18,1998,Redmond,Microsoft Press,,1,2,"Naik, Dilip C.",
587,ISBN 0-201-71159-1,Artficial Intelligence : A Guide to Intelligent Systems,14,2002,Harlow,Addison Wesley,1,1,2,"Negnevitsky, Michael",
588,ISBN 80-7226-919-4,Linux : kompletní příručka administrátora,828,2004,Brno,Computer Press,1,1,1,"Nemeth, Evi -- Snyder, Garth",Administrace
589,ISBN 80-7226-473-7,Psaní na počítači všemi deseti,185,2001,Praha,Computer Press,,1,1,"Neugebauer, Tomáš",
591,ISBN 0-596-00196-7,Web design in a nutshell : a desktop quick reference,618,2001,Beijing,O'Reilly,2,1,2,"Niederst, Jennifer",
593,ISBN 80-86497-27-5,Web. Design,382,2002,Praha,SoftPress,1,1,1,"Nielsen, Jakob",
594,ISBN 3-446-17276-9,Informatik I : Einführung in Algorithmen und Berechenbarkeit,153,1993,München,Carl Hansen Verlag,2,1,2,"Noltenmeier, Hartmut",
595,ISBN 3-446-15508-2,Informatik II : Einführung in Rechnerstrukturen und Programmierung,219,1993,München,Carl Hansen Verlag,2,1,2,"Noltenmeier, Hartmut -- Laue, Reinhard",
599,ISBN 80-85424-95-9,Neuronové sítě a informační systémy živých organismů,265,1993,Praha,Grada,1,1,1,"Novák, Mirko -- Faber, Josef",
603,ISBN 1-879102-79-X,Beyond Maps: GIS and Decision Makingin Local Government,225,2000,Washington,ESRI Press,1,1,2,"O&#39;Looney, John",
604,ISBN 80-7302-007-6,TEXbook naruby,466,2001,Brno,Konvoj,2,1,1,"Olšák, Petr",
606,ISBN 80-901950-0-8,Typografický systém TEX,269,1995,Praha,CSTUG,1,1,1,"Olšák, Petr",
608,ISBN 80-85896-49-4,Microsoft Excel pro vědce a inženýry,25,1996,Praha,Computer Press,1,1,1,"Orvis, William J.",
609,ISBN 1-56592-398-7,Mastering Algorithms with Perl,16,1999,Beijing,O'Reilly,1,1,2,"Orwant, Jon -- Hietaniemi, Jarkko",
610,ISBN 0-201-69946-X,Fundamentals of Object-Oriented Design in UML,21,2000,Reading,Addison-Wesley,,1,2,"Page-jones, Meilir",
611,ISBN 80-247-0210-X,Základy objektově orientovaného návrhu v UML,367,2001,Praha,Grada,1,1,1,"Page-jones, Meilir",Moderní programování
613,ISBN 80-902824-0-7,Profesionální design v reklamě,304,2000,Brno,SoftPress,,1,1,"Parker, Roger C.",
614,ISBN 1-58720-122-4,Routing first-step,414,2005,"Indianapolis, IN",Cisco Press,,1,2,"Parkhurst, William R",First-step series
618,ISBN 80-7226-605-5,Naučte se ASP. NET za 21 dní,22,2002,Praha,Computer Press,1,1,1,"Payne, Chris",
619,ISBN 80-856-05-42-2,Macmillanův slovník moderní ekonomie,549,1994,Praha,Victoria Publishing,,1,1,"Pearce, David W.",
620,ISBN 80-247-0030-1,Excel v příkladech: řešené úlohy: podrobný průvodce,198,2001,Praha,Grada,1,1,1,"Pecinovský, Josef",
621,ISBN 80-247-0941-4,Myslíme objektově v jazyku Java 5.0,601,2004,Praha,Grada Publishing,1,1,1,"Pecinovský, Rudolf",Myslíme v--
623,ISBN 80-7169-366-9,Objektové programování 1 : Učebnice s příklady v Turbo Pascalu a Borland C++,228,1996,Praha,Grada Publishing,1,1,1,"Pecinovský, Rudolf -- Virius, Miroslav",
624,ISBN 80-7169-366-9,Objektové programování 2 : Učebnice s příklady v Turbo Pascalu a Borland C++,261,1996,Praha,Grada Publishing,1,1,1,"Pecinovský, Rudolf -- Virius, Miroslav",
625,ISBN 978-0-387-20229-7,Chaos and fractals : new frontiers of science,864,2004,New York, Springer,,1,2,"Peitgen, Heinz-Otto -- Jürgens, Hartmut",
630,ISBN 80-85828-28-6,Jemný úvod do systému UNIX,189,1995,České Budějovice,Kopp,1,1,1,"Petrlík, Lukáš",
633,ISBN 80-85896-47-8,Microsoft Windows 95 Internet Kit,11,1996,Praha,Computer Press,1,1,1,"Pfaffenberger, Bryan",
634,ISBN 0-13-337486-6,Security in Computing,18,1997,Upper Saddle River,Prentice Hall,2,1,2,"Pfleeger, Charles P.",
635,ISBN 80-247-0368-8,Online public relations,215,2003,Praha,Grada Publishing,,1,1,"Phillips, David",Manažer
636,ISBN 80-903210-8-9,"Mistrovství práce s DSLR : vše, co jste chtěli vědět o digitální zrcadlovce a nikdo vám to neuměl vysvětlit",230,2006,Praha,IDIF,1,1,1,"Pihan, Roman",
637,ISBN 80-7169-799-0,Počítačové zkratky : Kompletní kapesní průvodce,233,1999,Praha,Grada Publishing,1,1,1,"Pilař, Alexander",
639,ISBN 80-7226-746-9,Komponenty v Delphi,438,2002,Praha,Computer Press,1,1,1,"Pirkl, Josef",
641,ISBN 80-7232-145-5,Síťové programování pod Windows a programování Internetu,357,2001,České Budějovice,Kopp,1,1,1,"Pirkl, Josef",
644,ISBN 80-85649-34-9,"Access 2.0 : Tipy, triky v příkladech",254,1995,Praha,GComp,,1,1,"Plecháč, Vladimír -- Hernady, Robert",
650,ISBN 80-901475-2-6,Dotazovací jazyky,227,1994,,SCIENCE,1,1,1,"Pokorný, Jaroslav",
652,ISBN 80-01-02898-4,Konstrukce databázových systémů,166,2004,Praha,Vydavatelství ČVUT,2,1,1,"Pokorný, Jaroslav",
653,ISBN 80-85649-15-2,FoxPro 2.5 : Učebnice programování DOS,285,1995,Praha,GComp,1,1,1,"Pokrupa, Petr",GComp
656,ISBN 80-902180-3-2,Velký česko-anglický slovník,1187,2000,Čelákovice,WD Publications,3,1,1,"Poldauf, Ivan",
657,ISBN 80-7226-686-1,1001 tipů a triků pro Microsoft Windows XP,299,2002,Praha,Computer Press,1,1,1,"Politzer, Michal -- Pecha, Jakub",
658,ISBN 80-86686-75-2,OpenOffice.org Writer,136,2007,Kralice na Hané,Computer Media,1,1,1,"Pomichálek, Jan -- Jiříček, Michal",
665,ISBN 80-251-0487-7,CSS pro webdesignery,288,2005,Brno,CP Books,2,1,1,"Prokop, Marek",
667,ISBN 80-7226-328-5,Elektronické bankovnictví,12,2000,Praha,Computer Press,1,1,1,"Přádka, Michal -- Kala, Jan",
668,ISBN 978-80-86757-94-0,"Kuchařka pro žadatele z fondů EU, aneb, Jak uvařit dobrý projekt",153,2008,Nymburk,Vega-L,,1,1,"Přichystal, Aleš",
669,ISBN 80-85896-21-4,Novell Netware 3.x a 4.x : Kompletní průvodce,494,1995,Praha,Computer Press,1,1,1,"Přichystal, Oldřich",
670,ISBN 80-200-0203-0,Komunikace s počítačem mluvenou řečí,287,1995,Praha,Academia,1,1,1,"Psutka, Josef",
671,,Algoritmizace,128,2007,Kralice na Hané,Computer Media,1,1,1,"Pšenčíková, Jana",
672,ISBN 3-540-56255-9,Systematic Introduction to Expert Systems : Knowledge Representations and Problem-Solving Methods,6,1993,Berlin,Springer-Verlag,,1,2,"Puppe, Frank",
676,ISBN 1-55860-653-X,Business modeling and data mining,693,2003,Amsterdam,Morgan Kaufmann,,1,2,"Pyle, Dorian",
680,ISBN 80-85896-29-X,Corel Ventura 5.0 : Podrobná uživatelská příručka,8,1996,Praha,Computer Press,1,1,1,"Rázus, Michal",
683,ISBN 80-7169-216-6,PowerPoint 4.0 : Snadno a dobře,167,1995,Praha,Grada Publishing,1,1,1,"Renda, Miroslav -- Mareček, Martin",
686,ISBN 1-55860-588-6,Spatial databases : with application to GIS,410,2002,San Francisco,Morgan Kaufmann Publishers,,1,2,"Rigaux, Philippe -- Scholl, Michel O.",The Morgan Kaufmann series in data management systems
687,ISBN 80-85896-89-3,Windows pro pokročilé a experty: Architektura 32bitových systémů Windows 95 aWindows NT,33,1997,Praha,Computer Press,1,1,1,"Richter, Jeffrey",
688,ISBN 80-7226-360-9,Vytváříme relační databázové aplikace,280,2000,Praha,Computer Press,1,1,1,"Riordan, Rebecca M.",Databáze
689,ISBN 1-85032-183-3,Systems Analysis Techniques,7,1996,London,Inter.Thompson Computer Press,,1,2,"Robinson, Barbara -- Prior, Mary",
691,ISBN 80-7226-134-7,Microsoft Access : Návrh a programování databází,20,1999,Praha,Computer Press,1,1,1,"Roman, Steven",
692,ISBN 80-7226-273-4,Programujeme makra ve Wordu,20,2000,Praha,Computer Press,1,1,1,"Roman, Steven",
693,ISBN 80-7226-218-1,"Řízení projektů : příprava a plánování, zahájení, výběr lidí a jejich řízení, kontrola a změny, vyhodnocení a ukončení",344,2000,Praha,Computer Press,1,1,1,"Rosenau, Milton D.",Business books
698,ISBN 978-80-251-1551-0,Microsoft Windows Vista jednoduše,126,2007,Brno,Computer Press,1,1,1,"Roubal, Pavel",Jednoduše
699,ISBN 978-80-251-1544-2,Windows Vista : rychle hotovo! : [názorný průvodce všemi běžnými činnostmi],224,2007,Brno,Computer Press,1,1,1,"Roubal, Pavel",Rychle hotovo!
702,ISBN 0-201-30998-X,The Unified Modeling Language Reference Manual,17,1999,Reading,Addison Wesley Longman,1,1,2,"Rumbaugh, James -- Jacobson, Ivar",
704,ISBN 80-85615-42-8,LATEX pro začátečníky,169,1995,Brno,Konvoj,1,1,1,"Rybička, Jiří",
705,ISBN 80-85615-74-6,LATEX pro začátečníky,190,1999,Konvoj,Brno,1,1,1,"Rybička, Jiří",
706,ISBN 80-7302-049-1,LATEX pro začátečníky,238,2003,Brno,Konvoj,3,1,1,"Rybička, Jiří",
707,ISBN 80-86119-13-0,Analýza a návrh informačních systémů,403,1999,Praha,Ekopress,1,1,1,"Řepa, Václav",
709,ISBN 978-80-247-2252-8,Podnikové procesy : procesní řízení a modelování,281,2007,Praha,Grada,2,1,1,"Řepa, Václav",Management v informační společnosti
710,ISBN 978-80-86946-26-9,Shluková analýza dat,196,2007,Praha,Professional Publishing,1,1,1,"Řezanková, Hana -- Húsek, Dušan",
718,ISBN 80-902230-0-1,Linux - Internet server,413,1996,Praha,Neokortex,,1,1,"Satrapa, Pavel -- Randus, Jiří A.",
719,ISBN 80-86330-03-6,Pascal pro zelenáče,253,2001,Praha,Neocortex,3,1,1,"Satrapa, Pavel",
724,ISBN 80-7226-644-6,Hacking bez tajemství,625,2002,Praha,Computer Press,2,1,1,"Scambray, Joel -- McClure, Stuart",
725,ISBN 80-7226-769-8,Hacking bez tajemství: webové aplikace,328,2003,Praha,Computer Press,1,1,1,"Scambray, Joel -- Shema, Mike",
727,ISBN 0-07-222952-7,Oracle Database 10g : XML & SQL,572,2004,New York,McGraw-Hill/Osborne,,1,2,"Scardina, Mark V -- Chang, Ben",
